Dp,ph
2939.787384127914,17273.442255641177
2965.717155553261,17519.326016435574
2991.8756350306912,17812.989147933615
3018.264839831101,18137.407231662837
3044.8868050182878,18483.54817825685
3071.7435836059,18840.343927858845
3098.83724671576,19194.038263327184
3126.1698837375798,19525.839054807268
3153.7436024900894,19850.017776169396
3181.5605293835865,20171.834951782417
3209.622809583927,20485.137520130465
3237.932607177939,20795.356081909365
3266.4921053403245,21112.872121740987
3295.3035065020113,21438.27648172122
3324.3690325200064,21758.486698185858
3353.6909248487295,22082.67936082005
3383.271444712885,22412.58226779076
3413.1128732818206,22726.03752423985
3443.217511845456,23024.27433123538
3473.587681991755,23313.3547051997
3504.2257257857514,23582.346895402443
3535.134005950169,23837.330530689156
3566.314906047624,24097.63270401697
3597.77083066445,24365.621391193476
3629.5042055961153,24648.622103734677
3661.517478034307,24966.2776076469
3693.8131167556453,25319.185249392052
3726.393612312074,25695.330961905554
3759.26147722292,26097.91948679808
3792.4192461686525,26517.989124062577
3825.869476186363,26936.952313997688
3859.614746866934,27351.396466561233
3893.657660553989,27744.576347213602
3928.00084254457,28111.012401482327
3962.6469412915944,28471.736635459267
3997.598628608099,28818.203489419466
4032.858599873275,29155.474182337704
4068.4295742403488,29525.394896563197
4104.314294846248,29930.936707086174
4140.5155290231605,30356.64897273347
4177.036068511944,30809.15377139071
4213.8787296774135,31276.927059539332
4251.046353725534,31765.220487999562
4288.541806922514,32276.545578945643
4326.367980815881,32794.6758878542
4364.527792457421,33350.56389472869
4403.024184628166,33947.048585353594
4441.860126065323,34567.899017693
4481.038611691218,35205.42280004562
4520.56266284425,35821.045449120866
4560.435327511891,36413.62357362915
4600.659680565758,36987.899200316824
4641.238823998699,37552.53118782108
4682.175887164047,38127.88479843102
4723.474027016923,38692.72112475454
4765.136428357709,39256.455455344
4807.166304077633,39802.65236421719
4849.566895406569,40327.471276779914
4892.34147216295,40839.85551342153
4935.493333005963,41355.461071177866
4979.025805689913,41920.81309332531
5022.94224732086,42546.8438527453
5067.246044615503,43265.56127972883
5111.940614162354,44072.60090240772
5157.029402685236,44957.824253503204
5202.515887309051,45893.621273247845
5248.403575827955,46844.76833859948
5294.696006975851,47778.82655710468
5341.396750699299,48668.34509712429
5388.509408432815,49501.108200808536
5436.037613376598,50264.92639507544
5483.985030776739,50962.95451701183
5532.355358207832,51593.42000192933
5581.152325858158,52174.32892483419
5630.379696817327,52716.867645073406
5680.041267366484,53263.561215712296
5730.140867271068,53829.057057223035
5780.682360076147,54460.99560109303
5831.669643404387,55159.47819398137
5883.106649256587,55947.305705656276
5934.9973443149365,56796.35553743734
5987.345730248901,57698.31657528449
6040.155844023826,58605.14910286254
6093.431758212251,59487.67057165092
6147.177581307976,60321.06361949102
6201.397458042912,61134.54877526361
6256.095569706686,61939.10596239572
6311.276134469108,62747.94006011059
6366.943407705461,63579.95054918354
6423.101682324665,64440.708856588746
6479.755289100331,65353.53768045382
6536.908597004732,66294.4770439831
6594.56601354576,67264.78528806886
6652.731985106771,68261.3803541274
6711.410997289514,69293.31765435047
6770.6075752600345,70368.90894022792
6830.326284097647,71483.75258582218
6890.57172914697,72662.94050763045
6951.348556373115,73885.57525855214
7012.661452719918,75129.48727909526
7074.515146471417,76372.0414684386
7136.914407616481,77596.41755598753
7199.864048216652,78797.555827651
7263.368922777236,79975.4944293477
7327.433928621676,81133.58407308334
7392.064006269232,82271.74306942556
7457.264139815952,83399.9206363708
7523.039357319046,84545.84110673929
7589.394731184644,85731.92385093543
7656.335378558955,86938.45577165807
7723.8664617228915,88148.43615548058
7791.993188490165,89337.16637886023
7860.7208126089245,90515.71624394042
7930.054634166869,91697.21377304365
