setV,readV
300,294.8989092128613
300,295.0716728610132
300,295.17533104990434
300,295.22099001405877
300,295.2851593690866
300,295.4616250954132
300,295.514688215917
300,295.96634175322833
300,296.67837478882575
300,297.3953439286561
350,348.4383637751307
350,348.56423443306994
350,348.5765746936522
350,348.77772094114334
350,348.8566986088699
350,348.8776770518598
350,348.92086796389776
350,349.06278096059395
350,349.10226979445724
350,349.268863312318
400,399.04207034487627
400,399.20619581062056
400,399.5541911590408
400,399.57023349779774
400,399.5899779147294
400,399.707210390261
400,399.7195506508433
400,399.7627415628813
400,400.73021799253183
400,401.2707214060356
450,452.0768082493305
450,452.0953186402039
450,452.43837788439123
450,452.4494841189153
450,452.4778667182545
450,452.5790568550292
450,452.61237555860134
450,452.65803452275577
450,454.2338857991126
450,454.5572006263683
500,506.0136192023492
500,506.10370310459984
500,506.191318954734
500,506.315955586615
500,506.3986353325163
500,506.5874413194251
500,506.59731352789095
500,506.62939820540487
500,507.2809639641491
500,507.61044892169593
550,556.0829924888822
550,556.3668184822745
550,556.4359239415353
550,556.4976252444467
550,556.5395821304264
550,556.7999616287125
550,556.8098338371783
550,556.8172379935277
550,556.8271102019935
550,556.9036198176036
600,610.0950790314528
600,610.1518442301312
600,610.1604824125388
600,610.4467764580477
600,610.4504785362224
600,610.497371526435
600,610.5121798391338
600,610.7577510247211
600,610.8367286924477
600,611.1773198845185
650,662.7460348317982
650,662.9249686102412
650,663.0249247209576
650,663.086626023869
650,663.1989223951678
650,663.2174327860412
650,663.2964104537677
650,663.3976005905424
650,663.492620597026
650,663.5135990400158
700,715.6363916874398
700,715.9671106710448
700,715.9868550879764
700,716.0917473029258
700,716.3459566709207
700,716.4076579738321
700,716.5174862930144
700,716.5224223972473
700,716.8432691723865
700,718.1365284814092
750,766.0673346090334
750,766.14631227676
750,766.357330732717
750,766.4523507392005
750,766.6646032212157
750,766.6942198466131
750,766.6966878987296
750,766.7497510192334
750,766.7954099833878
750,767.175490009322
800,818.1975314128067
800,818.52948442247
800,818.5356545527611
800,818.7071841748548
800,819.2526236925914
800,819.2526236925916
800,819.3390055166674
800,819.3488777251332
800,820.8395812034723
800,820.9888983565179
850,871.8591545548406
850,871.8690267633065
850,872.0134078121191
850,872.0528966459824
850,872.2441706850077
850,872.2762553625216
850,872.532932782633
850,872.5563792777393
850,872.9043746261596
850,873.6879811731342
900,925.5158415926417
900,925.7515405697632
900,925.772519012753
900,925.8107738205581
900,925.8231140811404
900,925.8305182374897
900,925.8366883677809
900,925.8983896706923
900,925.9600909736037
900,926.0230263025733
950,975.9356782797113
950,975.9517206184682
950,975.9973795826227
950,976.0010816607974
950,976.0023156868556
950,976.0825273806404
950,976.1072079018049
950,976.1763133610657
950,976.2046959604049
950,976.7735819732479
1000,1028.6495694090263
1000,1028.7100366858795
1000,1028.8248011092946
1000,1028.8359073438187
1000,1029.0062029398541
1000,1029.1703284055984
1000,1029.2591782817908
1000,1029.3060712720035
1000,1030.8609441053704
1000,1031.3212358250894
2000,2080.3544476639217
2000,2080.393936497785
2000,2080.5704022241116
2000,2080.7715484716027
2000,2080.828313670281
2000,2080.9011212077166
2000,2080.914695494357
2000,2080.983800953618
2000,2081.2046916180407
2000,2082.9224558910937
3000,3129.4863815874123
3000,3129.8022922583186
3000,3129.8491852485313
3000,3130.509389189683
3000,3130.5390058150806
3000,3130.6414299779135
3000,3130.6735146554274
3000,3130.6747486814857
3000,3130.7327479062224
3000,3131.613842511797
4000,4180.748244487404
4000,4180.767988904336
4000,4181.017262168098
4000,4181.046878793495
4000,4181.415852584905
4000,4181.658955718376
4000,4181.698444552239
4000,4181.786060402374
4000,4182.52647603731
4000,4183.718545209558
5000,5230.967355368193
5000,5230.988333811183
5000,5231.142587068462
5000,5231.257351491877
5000,5231.320286820846
5000,5231.4399873484945
5000,5231.509092807755
5000,5231.530071250745
5000,5232.497547680396
5000,5233.798211145768
6000,6279.796952907418
6000,6279.862356288504
6000,6279.904313174484
6000,6279.92775966959
6000,6279.936397851998
6000,6280.0598004578205
6000,6280.331286190631
6000,6280.378179180843
6000,6280.9914901317825
6000,6281.939222144501
7000,7330.5429929150705
7000,7330.871243846559
7000,7330.920604888888
7000,7330.95392359246
7000,7330.981072165741
7000,7331.300684914822
7000,7331.341407774744
7000,7331.443831937577
7000,7331.732594035202
7000,7332.092929644205
8000,8382.387316114546
8000,8382.550207554232
8000,8382.615610935318
8000,8382.6279511959
8000,8382.655099769181
