setV,readV
130,147.7092170916876
130,148.1041054303205
130,148.12014776907745
130,148.14112621206732
130,148.1584025768825
125,148.28550726087997
130,149.32208914979128
135,152.51698261454294
135,153.14510187818087
135,153.57947905067704
135,153.75471075094538
135,153.79296555875044
135,153.88181543494284
135,153.8892195912922
135,153.89662374764157
135,154.1730455846846
135,155.96731947334774
140,157.4234702220565
140,157.43951256081345
140,158.17375806545897
140,159.16344696415763
140,159.2559989185247
140,159.38803970675508
140,159.63978102263354
140,159.9667979280639
140,159.98777637105377
140,160.58381095717777
145,163.4257729692763
145,164.56354499496229
145,164.7017559134838
145,164.87328553557745
145,164.9905180111091
145,165.11268659087364
145,165.18055802407616
145,165.2755780305597
145,165.28668426508375
145,165.45204375688627
150,169.0677401074936
150,169.84394249811885
150,170.4510833187669
150,170.5214228040859
150,170.6016344978707
150,170.75218567697448
150,170.7756321720808
150,170.86695010038966
150,170.917545168777
150,170.9533319244656
200,222.5997905134136
200,222.97863651328953
200,224.04113294942363
200,224.3027464737679
200,224.4668719395122
200,224.60631688409194
200,224.7519319589628
200,224.96541846703622
200,224.97035457126913
200,226.24140141124371
250,275.4321481443185
250,275.64810270450835
250,275.66167699114885
250,275.78631362302986
250,275.7863136230299
250,275.86282323864
250,276.01337441774376
250,276.1626915707893
250,276.22562689975894
250,276.3120087238349
300,328.63718164480815
300,329.09870739058533
300,329.36649104522076
300,329.56270118847897
300,329.60712612657517
300,329.7194224978739
300,329.78852795713465
300,329.81444250435743
300,329.920568745365
300,332.15415591075725
350,383.0194760048471
350,383.4995121414977
350,383.72410488409514
350,383.7364451446774
350,383.76359371795843
350,383.7660617700749
350,383.85861372444197
350,383.869719958966
350,383.9968246429635
350,384.4065212942951
400,436.6169297918532
400,436.8674370816734
400,437.42028075575945
400,437.45113140721514
400,437.59304440391134
400,437.67449012375437
400,437.6757241498126
400,437.70904285338474
400,438.1026971659594
400,438.3655447163619
450,487.0984677818342
450,487.5933122311835
450,488.6237239898037
450,488.6385323025024
450,488.6915954230062
450,488.6940634751227
450,488.74589256956824
450,488.84214660211
450,488.8470827063429
450,489.06673934470746
500,542.7024479395186
500,542.7616811903135
500,542.8036380762933
500,542.8789136658452
500,542.904828213068
500,542.9443170469312
500,542.9665295159793
500,542.9998482195515
500,543.1195487471996
500,543.2380152487895
550,595.9235237787652
550,596.0987554790336
550,596.2616469187196
550,596.2912635441171
550,596.3949217330082
550,596.464027192269
550,596.6404929185956
550,596.8354690357955
550,596.9946583973069
550,597.4697584297246
600,647.8698506998626
600,648.5263525628397
600,649.6739967969916
600,649.92573811287
600,650.646409330875
600,650.7698119366978
600,650.8771722037636
600,650.8784062298218
600,650.9450436369661
600,651.0277233828674
650,701.25752005697
650,701.7030034639902
650,701.72398190698
650,701.8338102261623
650,701.8782351642585
650,702.0139780306636
650,702.070743229342
650,702.1558910273598
650,702.1781034964079
650,703.4923412484204
700,753.7714989648521
700,755.2819468601228
700,755.7261962410848
700,755.7397705277253
700,755.9150022279937
700,755.9248744364595
700,756.0927019803785
700,756.1753817262797
700,756.1975941953278
700,756.339507192024
750,807.9933699373214
750,809.1977793701517
750,809.806154216858
750,809.8666214937111
750,809.9542373438453
750,809.996194229825
750,810.2541056759947
750,810.3997207508655
750,811.285751460673
750,812.396374913078
800,860.4481155944086
800,860.4851363761554
800,860.699856910287
800,860.7800686040719
800,860.8183234118769
800,861.0638945974642
800,861.1465743433655
800,861.26874292313
800,861.3353803302743
800,863.251822798702
850,914.7773468339437
850,914.8464522932045
850,914.941472299688
850,914.9883652899007
850,915.0142798371235
850,915.0784491921513
850,915.249978814245
850,915.3030419347488
850,915.4609972702019
850,917.0973158234119
900,966.8495444129803
900,967.3394527580967
900,967.6319169338967
900,967.8959985103575
900,968.25633411936
900,968.9979837803548
900,969.0140261191118
900,969.0164941712283
900,969.1349606728181
900,969.1695134024485
950,1022.6361604272824
950,1022.6633090005635
950,1022.7731373197457
950,1022.7768393979204
950,1022.9064121340343
950,1023.0298147398571
950,1023.0841118864191
950,1023.0976861730596
950,1023.1396430590394
950,1023.2692157951533
1000,1071.3308286849497
1000,1071.6998024763598
1000,1072.5340040917217
1000,1072.80672385059
1000,1072.8758293098508
1000,1073.0683373749343
1000,1073.7853065147647
1000,1074.1925351139798
1000,1074.4418083777418
1000,1076.279273178443
2000,2137.892146654849
2000,2139.640761579358
2000,2139.7641641851806
2000,2139.993693032011
2000,2140.1269678462995
2000,2140.3429224064894
2000,2140.6131741132413
2000,2140.634152556231
2000,2140.714364250016
2000,2140.898234132692
3000,3202.755444768627
3000,3203.7266232764523
3000,3203.866068221032
3000,3206.2415683831205
3000,3206.3168439726724
3000,3206.3649709889432
3000,3206.3785452755837
3000,3206.378545275584
3000,3206.6759455556166
3000,3209.342675867447
4000,4264.815035678112
4000,4265.072947124281
4000,4266.617947749182
4000,4267.563211709785
4000,4268.180224738899
4000,4268.588687364172
4000,4268.752812829916
4000,4269.053915188124
4000,4269.053915188125
4000,4270.565597109453
5000,5328.450477863953
5000,5329.8782460133225
5000,5331.872432123419
5000,5332.234001758479
5000,5332.311745400148
5000,5332.488211126474
5000,5332.694293478198
5000,5332.896673751748
5000,5333.343391184826
5000,5333.899936937087
6000,6395.420258459126
6000,6395.725062895508
6000,6396.131057468665
6000,6396.300119038642
6000,6397.498358341181
6000,6397.790822516981
6000,6397.8192051163205
6000,6397.956182008784
6000,6398.674385174672
6000,6399.7047969332925
7000,7459.165528964149
7000,7459.601140162704
7000,7459.940497328716
7000,7460.140409550149
7000,7460.236663582691
7000,7460.309471120127
7000,7460.3798106054455
7000,7460.5204895760835
7000,7462.5307180249365
7000,7463.213134435136
8000,8525.666379657196
8000,8525.757697585505
8000,8525.857653696221
8000,8525.910716816725
8000,8525.968716041461
8000,8526.071140204294
8000,8526.246371904563
8000,8526.321647494115
8000,8528.521915955935
8000,8528.982207675654
9000,9591.861191887801
9000,9591.933999425237
9000,9591.942637607644
9000,9592.088252682515
9000,9592.094422812806
9000,9592.534970115594
9000,9593.190237952513
9000,9595.119020681523
9000,9595.676800459842
9000,9596.772615599548
10000,10116.79366458884
10000,10116.793664588842
10000,10116.793664588844
10000,10116.793664588846
10000,10116.793664588848
10000,10116.79366458885
10000,10116.793664588851
10000,10116.793664588853
10000,10116.793664588855
10000,10116.793664588857
